timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653439473518,83,HTTP Request,200,OK,Thread Group 1-143,text,true,,11228,115,281,281,http://192.168.100.3/,65,0,0
1653439473531,85,HTTP Request,200,OK,Thread Group 1-219,text,true,,11228,115,287,287,http://192.168.100.3/,67,0,0
1653439473530,90,HTTP Request,200,OK,Thread Group 1-213,text,true,,11228,115,289,289,http://192.168.100.3/,75,0,0
1653439473528,93,HTTP Request,200,OK,Thread Group 1-190,text,true,,11228,115,289,289,http://192.168.100.3/,64,0,0
1653439473531,99,HTTP Request,200,OK,Thread Group 1-191,text,true,,11228,115,290,290,http://192.168.100.3/,99,0,0
1653439473437,213,HTTP Request,200,OK,Thread Group 1-228,text,true,,11229,115,295,295,http://192.168.100.3/,184,0,67
1653439473505,145,HTTP Request,200,OK,Thread Group 1-138,text,true,,11228,115,295,295,http://192.168.100.3/,116,0,0
1653439473448,204,HTTP Request,200,OK,Thread Group 1-232,text,true,,11229,115,299,299,http://192.168.100.3/,173,0,58
1653439473461,191,HTTP Request,200,OK,Thread Group 1-233,text,true,,11229,115,299,299,http://192.168.100.3/,161,0,47
1653439473461,192,HTTP Request,200,OK,Thread Group 1-235,text,true,,11229,115,299,299,http://192.168.100.3/,161,0,47
1653439473438,216,HTTP Request,200,OK,Thread Group 1-227,text,true,,11229,115,299,299,http://192.168.100.3/,185,0,66
1653439473590,68,HTTP Request,200,OK,Thread Group 1-170,text,true,,11228,115,301,301,http://192.168.100.3/,42,0,0
1653439473590,70,HTTP Request,200,OK,Thread Group 1-242,text,true,,11228,115,300,300,http://192.168.100.3/,42,0,0
1653439473486,176,HTTP Request,200,OK,Thread Group 1-243,text,true,,11229,115,301,301,http://192.168.100.3/,147,0,47
1653439473548,117,HTTP Request,200,OK,Thread Group 1-184,text,true,,11228,115,302,302,http://192.168.100.3/,86,0,0
1653439473429,238,HTTP Request,200,OK,Thread Group 1-225,text,true,,11229,115,303,303,http://192.168.100.3/,206,0,72
1653439473486,184,HTTP Request,200,OK,Thread Group 1-244,text,true,,11229,115,303,303,http://192.168.100.3/,149,0,47
1653439473532,142,HTTP Request,200,OK,Thread Group 1-250,text,true,,11229,115,305,305,http://192.168.100.3/,118,0,47
1653439473540,134,HTTP Request,200,OK,Thread Group 1-49,text,true,,11228,115,305,305,http://192.168.100.3/,100,0,0
1653439473535,140,HTTP Request,200,OK,Thread Group 1-10,text,true,,11228,115,305,305,http://192.168.100.3/,105,0,0
1653439473536,140,HTTP Request,200,OK,Thread Group 1-157,text,true,,11228,115,303,303,http://192.168.100.3/,104,0,0
1653439473532,144,HTTP Request,200,OK,Thread Group 1-58,text,true,,11228,115,303,303,http://192.168.100.3/,108,0,0
